system:index,VH_before,VH_event,VV_before,VV_event,VV_minus_VH_event,class,dVH_event_before,dVV_event_before,elevation,random,slope,.geo
0,-14.824494,-16.424202,-8.496728,-9.012932,7.41127,0,-1.599708,-0.51620364,22.0,0.9202857813373805,3.3716137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.77123233220603,9.373425916380942]}"
1,-13.957384,-18.055405,-6.3634233,-11.702183,6.3532214,0,-4.09802,-5.3387594,9.0,0.9935767837586099,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.72083684476692,9.235444688740184]}"
2,-14.263829,-17.179064,-11.485205,-9.996583,7.1824803,0,-2.9152339,1.488622,8.0,0.9650967583049221,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.70924857760177,8.868932052819419]}"
3,-13.669815,-16.401718,-9.869049,-9.555182,6.8465366,0,-2.7319038,0.31386688,7.0,0.08636803615294952,3.353889,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.95206319889928,9.247032955905325]}"
4,-14.166243,-21.078981,-8.137981,-11.326879,9.752103,0,-6.9127393,-3.1888967,73.0,0.3695639949493832,5.915327,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.69307890248763,9.306591259242449]}"
5,-15.190393,-16.70978,-8.432071,-10.874774,5.835006,0,-1.5193865,-2.4427028,13.0,0.287075633236614,0.93848544,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.97739568991146,8.812068695334652]}"
6,-17.569374,-17.53925,-11.879195,-13.565297,3.973953,0,0.030123498,-1.6861018,10.0,0.44253333437112097,2.9637735,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.87768269337418,9.068897035064424]}"
7,-17.518267,-18.998997,-11.315648,-12.179698,6.819298,0,-1.4807297,-0.8640505,82.0,0.23648578394510067,8.53399,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.50712763867489,9.127916349231077]}"
8,-12.878729,-16.307793,-6.9296165,-11.860029,4.447764,0,-3.4290643,-4.9304123,216.0,0.29458533953688903,24.733477,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.64160543670758,8.63339378532328]}"
9,-18.227367,-15.302443,-11.859114,-12.045923,3.256519,0,2.9249246,-0.1868102,46.0,0.5485751597551048,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.69927727794806,8.700767431632244]}"
